⚠ `eslint` configuration in next.config.ts is no longer supported. See more info here: https://nextjs.org/docs/app/api-reference/cli/next#next-lint-options
⚠ Invalid next.config.ts options detected: 
⚠     Unrecognized key(s) in object: 'eslint'
⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
▲ Next.js 16.1.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://21.0.9.216:3000
- Environments: .env

✓ Starting...
✓ Ready in 1047ms
 GET /api/bot/data 200 in 15ms (compile: 12ms, render: 2ms)
 GET /api/telegram/stats 200 in 18ms (compile: 16ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 21ms (compile: 19ms, render: 3ms)
 GET /api/crm/stats 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/profile 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/applications 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/automation/rules 200 in 13ms (compile: 11ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 16ms (compile: 14ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 16ms (compile: 14ms, render: 2ms)
 GET /api/bot/data 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/telegram/stats 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/telegram/users 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/crm/stats 200 in 14ms (compile: 12ms, render: 2ms)
 GET /api/applications 200 in 17ms (compile: 15ms, render: 2ms)
 GET /api/automation/rules 200 in 6ms (compile: 3ms, render: 2ms)
 GET /api/profile 200 in 9ms (compile: 5ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/crm/stats 200 in 5ms (compile: 2ms, render: 2ms)
 GET /api/bot/data 200 in 8ms (compile: 5ms, render: 3ms)
 GET /api/telegram/stats 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/telegram/users 200 in 14ms (compile: 12ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 8ms (compile: 5ms, render: 2ms)
 GET /api/applications 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/profile 200 in 7ms (compile: 5ms, render: 3ms)
 GET /api/automation/rules 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/crm/stats 200 in 4ms (compile: 2ms, render: 2ms)
 GET /api/bot/data 200 in 5ms (compile: 3ms, render: 2ms)
 GET /api/telegram/stats 200 in 8ms (compile: 6ms, render: 3ms)
 GET /api/applications 200 in 12ms (compile: 9ms, render: 2ms)
 GET /api/telegram/users 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/automation/rules 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/profile 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/applications 200 in 11ms (compile: 3ms, render: 8ms)
 GET /api/bot/data 200 in 15ms (compile: 12ms, render: 2ms)
 GET /api/telegram/stats 200 in 18ms (compile: 15ms, render: 2ms)
 GET /api/telegram/users 200 in 20ms (compile: 18ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 13ms (compile: 11ms, render: 2ms)
 GET /api/crm/stats 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/profile 200 in 9ms (compile: 6ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 12ms (compile: 9ms, render: 2ms)
 GET /api/automation/rules 200 in 15ms (compile: 13ms, render: 2ms)
 GET /api/telegram/users 200 in 26ms (compile: 23ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/bot/data 200 in 12ms (compile: 10ms, render: 2ms)
 GET /api/telegram/stats 200 in 15ms (compile: 12ms, render: 2ms)
 GET /api/profile 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/applications 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/automation/rules 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/crm/stats 200 in 13ms (compile: 11ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 12ms (compile: 9ms, render: 2ms)
 GET /api/bot/data 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/telegram/stats 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/telegram/users 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/profile 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/automation/rules 200 in 7ms (compile: 4ms, render: 3ms)
 GET /api/crm/stats 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/applications 200 in 15ms (compile: 12ms, render: 3ms)
 GET /api/bot/data 200 in 18ms (compile: 15ms, render: 3ms)
 GET /api/telegram/stats 200 in 13ms (compile: 10ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 7ms (compile: 4ms, render: 3ms)
 GET /api/telegram/users 200 in 13ms (compile: 8ms, render: 4ms)
 GET /api/telegram/activity?limit=30 200 in 18ms (compile: 14ms, render: 4ms)
 GET /api/automation/rules 200 in 20ms (compile: 18ms, render: 2ms)
 GET /api/crm/stats 200 in 13ms (compile: 11ms, render: 2ms)
 GET /api/applications 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/profile 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/bot/data 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/telegram/stats 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/telegram/users 200 in 14ms (compile: 12ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/crm/stats 200 in 12ms (compile: 10ms, render: 2ms)
 GET /api/applications 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/profile 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/automation/rules 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/bot/data 200 in 5ms (compile: 3ms, render: 2ms)
 GET /api/telegram/stats 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/telegram/users 200 in 5ms (compile: 3ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 12ms (compile: 10ms, render: 3ms)
 GET /api/crm/stats 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/applications 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/profile 200 in 9ms (compile: 6ms, render: 2ms)
 GET /api/automation/rules 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/bot/data 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/stats 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/telegram/users 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 8ms (compile: 5ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 5ms (compile: 3ms, render: 2ms)
 GET /api/crm/stats 200 in 8ms (compile: 5ms, render: 2ms)
 GET /api/applications 200 in 6ms (compile: 4ms, render: 1973µs)
 GET /api/telegram/users 200 in 7ms (compile: 4ms, render: 3ms)
 GET /api/profile 200 in 12ms (compile: 10ms, render: 2ms)
 GET /api/automation/rules 200 in 14ms (compile: 12ms, render: 2ms)
 GET /api/bot/data 200 in 4ms (compile: 1969µs, render: 2ms)
 GET /api/telegram/stats 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/crm/stats 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/applications 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/profile 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/automation/rules 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 7ms (compile: 4ms, render: 3ms)
 GET /api/bot/data 200 in 5ms (compile: 2ms, render: 2ms)
 GET /api/telegram/stats 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/telegram/users 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 14ms (compile: 11ms, render: 3ms)
 GET /api/crm/stats 200 in 17ms (compile: 15ms, render: 2ms)
 GET /api/applications 200 in 20ms (compile: 18ms, render: 2ms)
 GET /api/automation/rules 200 in 4ms (compile: 2ms, render: 2ms)
 GET /api/profile 200 in 8ms (compile: 5ms, render: 3ms)
 GET /api/bot/data 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/telegram/stats 200 in 14ms (compile: 12ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 17ms (compile: 15ms, render: 2ms)
 GET /api/telegram/users 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/crm/stats 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/applications 200 in 11ms (compile: 9ms, render: 2ms)
 GET /api/profile 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/automation/rules 200 in 14ms (compile: 11ms, render: 3ms)
 GET /api/bot/data 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/telegram/stats 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/telegram/users 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 13ms (compile: 10ms, render: 3ms)
 GET /api/crm/stats 200 in 13ms (compile: 10ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 9ms (compile: 7ms, render: 3ms)
 GET /api/applications 200 in 8ms (compile: 6ms, render: 1995µs)
 GET /api/profile 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/automation/rules 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/bot/data 200 in 5ms (compile: 3ms, render: 1955µs)
 GET /api/telegram/stats 200 in 8ms (compile: 5ms, render: 3ms)
 GET /api/telegram/users 200 in 43ms (compile: 41ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 13ms (compile: 10ms, render: 2ms)
 GET /api/crm/stats 200 in 13ms (compile: 10ms, render: 3ms)
 GET /api/applications 200 in 11ms (compile: 6ms, render: 4ms)
 GET /api/profile 200 in 14ms (compile: 11ms, render: 3ms)
 GET /api/automation/rules 200 in 14ms (compile: 12ms, render: 2ms)
 GET /api/bot/data 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/stats 200 in 5ms (compile: 3ms, render: 3ms)
 GET /api/telegram/users 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 13ms (compile: 10ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 17ms (compile: 15ms, render: 2ms)
 GET /api/crm/stats 200 in 12ms (compile: 10ms, render: 1924µs)
 GET /api/applications 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/profile 200 in 4ms (compile: 2ms, render: 2ms)
 GET /api/automation/rules 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/bot/data 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/telegram/stats 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/telegram/users 200 in 29ms (compile: 27ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 27ms (compile: 25ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 30ms (compile: 28ms, render: 2ms)
 GET /api/crm/stats 200 in 33ms (compile: 31ms, render: 2ms)
 GET /api/applications 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/profile 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/automation/rules 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/bot/data 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/telegram/stats 200 in 15ms (compile: 12ms, render: 3ms)
 GET /api/telegram/users 200 in 15ms (compile: 13ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/crm/stats 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/applications 200 in 11ms (compile: 9ms, render: 3ms)
 GET /api/profile 200 in 8ms (compile: 6ms, render: 3ms)
 GET /api/automation/rules 200 in 8ms (compile: 5ms, render: 3ms)
 GET /api/telegram/users 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/bot/data 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/telegram/stats 200 in 8ms (compile: 5ms, render: 3ms)
